name,description,specifications,categoryID,price,brandID,image
"Fractal Design Pop Air","Airflow Case","ATX, High Airflow Design",7,99.99,12,"/placeholder.svg?height=300&width=300"
"Corsair 4000D","Popular Case","ATX, Tempered Glass",7,94.99,13,"/placeholder.svg?height=300&width=300"
"Phanteks P300A","Budget Case","ATX, Mesh Front",7,69.99,14,"/placeholder.svg?height=300&width=300"
"Cooler Master Q300L","Compact Case","mATX, Minimalist Design",7,49.99,9,"/placeholder.svg?height=300&width=300"

"NZXT Kraken X73","Premium AIO","360mm Radiator, RGB",8,199.99,9,"/placeholder.svg?height=300&width=300"
"Corsair H150i Elite","High-end AIO","360mm Radiator, LCD Display",8,189.99,6,"/placeholder.svg?height=300&width=300"
"Arctic Liquid Freezer II","Value AIO","240mm Radiator",8,119.99,3,"/placeholder.svg?height=300&width=300"
"Noctua NH-D15","Air Cooler","Dual Tower, Dual Fan",8,99.99,5,"/placeholder.svg?height=300&width=300"
"be quiet! Dark Rock Pro 4","Premium Air","Dual Tower, Silent Operation",8,89.99,1,"/placeholder.svg?height=300&width=300"
"Cooler Master Hyper 212","Budget Air","Single Tower, RGB Fan",8,44.99,2,"/placeholder.svg?height=300&width=300"

"Logitech G Pro X","Gaming Mouse","25K DPI, Wireless",9,149.99,2,"/placeholder.svg?height=300&width=300"
"Razer Huntsman Elite","Mechanical Keyboard","Optical Switches, RGB",9,199.99,1,"/placeholder.svg?height=300&width=300"
"SteelSeries QcK+","Mouse Pad","450x400mm, Cloth Surface",9,29.99,5,"/placeholder.svg?height=300&width=300"
"Blue Yeti","USB Microphone","Condenser, Multiple Patterns",9,129.99,14,"/placeholder.svg?height=300&width=300"
"VIVO Monitor Mount","Dual Monitor Arm","Gas Spring, VESA Mount",9,49.99,13,"/placeholder.svg?height=300&width=300"
"Anker USB Hub","USB 3.0 Hub","7 Ports, Powered",9,29.99,12,"/placeholder.svg?height=300&width=300"

"Windows 11 Pro","Operating System","64-bit, Digital License",10,199.99,11,"/placeholder.svg?height=300&width=300"
"Microsoft Office 365","Productivity Suite","1-year Subscription",10,69.99,10,"/placeholder.svg?height=300&width=300"
"Norton 360 Deluxe","Security Suite","5 Devices, 1-year",10,49.99,5,"/placeholder.svg?height=300&width=300"
"Adobe Photoshop","Photo Editor","1-year Subscription",10,239.99,8,"/placeholder.svg?height=300&width=300"
"WinRAR","File Compression","Lifetime License",10,29.99,7,"/placeholder.svg?height=300&width=300"
"Malwarebytes","Antimalware","1-year Subscription",10,39.99,9,"/placeholder.svg?height=300&width=300"

"CableMod Pro Kit","PSU Cable Kit","Full Set, Braided, Custom",11,99.99,1,"/placeholder.svg?height=300&width=300"
"HDMI 2.1 Cable","Premium HDMI","8K@60Hz, 48Gbps",11,29.99,2,"/placeholder.svg?height=300&width=300"
"DisplayPort 1.4","Video Cable","8K@60Hz, HDR",11,24.99,14,"/placeholder.svg?height=300&width=300"
"USB-C Cable","Fast Charging","100W, 10Gbps",11,19.99,1,"/placeholder.svg?height=300&width=300"
"SATA Cable Pack","Storage Cables","6Gbps, 90-degree",11,9.99,11,"/placeholder.svg?height=300&width=300"
"Cable Management Kit","Organization","Sleeves and Ties",11,14.99,9,"/placeholder.svg?height=300&width=300"

"ASUS ROG Zephyrus","Gaming Laptop","RTX 4090, i9-13900H, 32GB",12,3499.99,6,"/placeholder.svg?height=300&width=300"
"MacBook Pro 16","Professional Laptop","M2 Max, 32GB RAM, 1TB",12,2999.99,10,"/placeholder.svg?height=300&width=300"
"Lenovo ThinkPad X1","Business Laptop","i7-1360P, 16GB RAM, 512GB",12,1799.99,5,"/placeholder.svg?height=300&width=300"
"Dell XPS 15","Premium Laptop","i7-13700H, RTX 4060, 16GB",12,1999.99,12,"/placeholder.svg?height=300&width=300"
"HP Pavilion","Budget Laptop","i5-1235U, 8GB RAM, 256GB",12,699.99,11,"/placeholder.svg?height=300&width=300"
"Acer Nitro 5","Gaming Laptop","RTX 4060, i5-13500H, 16GB",12,999.99,10,"/placeholder.svg?height=300&width=300"

"ASUS ROG Rapture","Gaming Router","WiFi 6E, Tri-band",13,399.99,9,"/placeholder.svg?height=300&width=300"
"Netgear Nighthawk","Premium Router","WiFi 6, Dual-band",13,299.99,5,"/placeholder.svg?height=300&width=300"
"TP-Link Archer","Mid-range Router","WiFi 6, Gigabit",13,149.99,14,"/placeholder.svg?height=300&width=300"
"Ubiquiti UniFi AP","Access Point","WiFi 6, PoE",13,179.99,10,"/placeholder.svg?height=300&width=300"
"Netgear Switch","Network Switch","8-port, Gigabit",13,49.99,2,"/placeholder.svg?height=300&width=300"
"Cat 8 Ethernet","Network Cable","25ft, 40Gbps",13,29.99,1,"/placeholder.svg?height=300&width=300"

"Sony WH-1000XM5","Premium Headphones","ANC, Bluetooth 5.2",14,399.99,14,"/placeholder.svg?height=300&width=300"
"SteelSeries Arctis Pro","Gaming Headset","Hi-Res Audio, RGB",14,249.99,6,"/placeholder.svg?height=300&width=300"
"Bose QC45","Noise Cancelling","Bluetooth, 24h Battery",14,329.99,5,"/placeholder.svg?height=300&width=300"
"Razer BlackShark V2","Gaming Headset","THX Audio, USB Sound Card",14,99.99,13,"/placeholder.svg?height=300&width=300"
"HyperX Cloud II","Gaming Classic","7.1 Surround, USB DAC",14,99.99,12,"/placeholder.svg?height=300&width=300"
"Logitech G Pro X","Esports Headset","Blue VO!CE, DTS",14,129.99,11,"/placeholder.svg?height=300&width=300"
